,CountryName,CountryCode,Date,School closing,Stay at home requirements,ConfirmedCases,ConfirmedDeaths,StringencyIndex,Continent_Name
13041,China,CHN,2020-03-01,3,3,79929.0,2872.0,78.1,Asia
13042,China,CHN,2020-03-02,3,3,80134.0,2914.0,78.1,Asia
13043,China,CHN,2020-03-03,3,3,80261.0,2946.0,78.1,Asia
13044,China,CHN,2020-03-04,3,3,80380.0,2983.0,78.1,Asia
13045,China,CHN,2020-03-05,3,3,80497.0,3014.0,78.1,Asia
13046,China,CHN,2020-03-06,3,3,80667.0,3044.0,78.1,Asia
13047,China,CHN,2020-03-07,3,3,80768.0,3072.0,78.1,Asia
13048,China,CHN,2020-03-08,3,3,80814.0,3099.0,78.1,Asia
13049,China,CHN,2020-03-09,3,3,80859.0,3122.0,78.1,Asia
13050,China,CHN,2020-03-10,3,3,80879.0,3139.0,78.1,Asia
13051,China,CHN,2020-03-11,3,3,80908.0,3161.0,78.1,Asia
13052,China,CHN,2020-03-12,3,3,80932.0,3172.0,78.1,Asia
13053,China,CHN,2020-03-13,3,3,80954.0,3179.0,78.1,Asia
13054,China,CHN,2020-03-14,3,3,80973.0,3194.0,78.1,Asia
13055,China,CHN,2020-03-15,3,3,80995.0,3203.0,78.1,Asia
13056,China,CHN,2020-03-16,3,3,81020.0,3216.0,74.52,Asia
13057,China,CHN,2020-03-17,3,3,81063.0,3225.0,74.52,Asia
13058,China,CHN,2020-03-18,3,3,81086.0,3241.0,74.52,Asia
13059,China,CHN,2020-03-19,3,3,81130.0,3249.0,74.52,Asia
13060,China,CHN,2020-03-20,3,3,81229.0,3253.0,74.52,Asia
13061,China,CHN,2020-03-21,3,3,81281.0,3259.0,74.52,Asia
13062,China,CHN,2020-03-22,3,3,81346.0,3265.0,74.52,Asia
13063,China,CHN,2020-03-23,3,3,81484.0,3274.0,74.52,Asia
13064,China,CHN,2020-03-24,3,3,81553.0,3281.0,74.52,Asia
13065,China,CHN,2020-03-25,3,3,81631.0,3285.0,74.52,Asia
13066,China,CHN,2020-03-26,3,3,81733.0,3291.0,78.1,Asia
13067,China,CHN,2020-03-27,3,3,81827.0,3296.0,78.1,Asia
13068,China,CHN,2020-03-28,3,3,81946.0,3299.0,68.57,Asia
13069,China,CHN,2020-03-29,3,3,82059.0,3304.0,68.57,Asia
13070,China,CHN,2020-03-30,3,3,82157.0,3306.0,68.57,Asia
13071,China,CHN,2020-03-31,3,3,82241.0,3309.0,68.57,Asia
13072,China,CHN,2020-04-01,3,3,82295.0,3310.0,68.57,Asia
13073,China,CHN,2020-04-02,3,3,82395.0,3316.0,68.57,Asia
13074,China,CHN,2020-04-03,3,3,82465.0,3326.0,65.0,Asia
13075,China,CHN,2020-04-04,3,3,82527.0,3330.0,65.0,Asia
13076,China,CHN,2020-04-05,3,3,82575.0,3333.0,65.0,Asia
13077,China,CHN,2020-04-06,3,3,82642.0,3335.0,65.0,Asia
13078,China,CHN,2020-04-07,3,3,82698.0,3335.0,65.0,Asia
5472,China,CHN,2020-04-08,3,1,82784.0,3337.0,59.05,Asia
5473,China,CHN,2020-04-09,3,1,82870.0,3339.0,59.05,Asia
5474,China,CHN,2020-04-10,3,1,82925.0,3340.0,59.05,Asia
5475,China,CHN,2020-04-11,3,1,83004.0,3343.0,59.05,Asia
5476,China,CHN,2020-04-12,3,1,83097.0,3343.0,59.05,Asia
5477,China,CHN,2020-04-13,3,1,83209.0,3345.0,59.05,Asia
5478,China,CHN,2020-04-14,3,1,83303.0,3345.0,59.05,Asia
5479,China,CHN,2020-04-15,3,1,83352.0,3346.0,59.05,Asia
5480,China,CHN,2020-04-16,3,1,83402.0,3346.0,59.05,Asia
5481,China,CHN,2020-04-17,3,1,83754.0,4636.0,59.05,Asia
5482,China,CHN,2020-04-18,3,1,83785.0,4636.0,59.05,Asia
5483,China,CHN,2020-04-19,3,1,83803.0,4636.0,59.05,Asia
5484,China,CHN,2020-04-20,3,1,83817.0,4636.0,59.05,Asia
5485,China,CHN,2020-04-21,3,1,83849.0,4636.0,59.05,Asia
5486,China,CHN,2020-04-22,3,1,83864.0,4636.0,59.05,Asia
5487,China,CHN,2020-04-23,3,1,83876.0,4636.0,59.05,Asia
5488,China,CHN,2020-04-24,3,1,83884.0,4636.0,59.05,Asia
5489,China,CHN,2020-04-25,3,1,83899.0,4636.0,59.05,Asia
5490,China,CHN,2020-04-26,3,1,83909.0,4636.0,59.05,Asia
5491,China,CHN,2020-04-27,3,1,83912.0,4637.0,59.05,Asia
5492,China,CHN,2020-04-28,3,1,83938.0,4637.0,59.05,Asia
5493,China,CHN,2020-04-29,3,1,83940.0,4637.0,59.05,Asia
5494,China,CHN,2020-04-30,3,1,83944.0,4637.0,59.05,Asia
5495,China,CHN,2020-05-01,3,1,83956.0,4637.0,59.05,Asia
5496,China,CHN,2020-05-02,3,1,83959.0,4637.0,59.05,Asia
5497,China,CHN,2020-05-03,3,1,83961.0,4637.0,59.05,Asia
5498,China,CHN,2020-05-04,3,1,83964.0,4637.0,59.05,Asia
5499,China,CHN,2020-05-05,3,1,83966.0,4637.0,59.05,Asia
5500,China,CHN,2020-05-06,3,1,83968.0,4637.0,59.05,Asia
5501,China,CHN,2020-05-07,3,1,83970.0,4637.0,59.05,Asia
5502,China,CHN,2020-05-08,3,1,83976.0,4637.0,59.05,Asia
5503,China,CHN,2020-05-09,3,1,83976.0,4637.0,59.05,Asia
13079,China,CHN,2020-05-10,3,3,83991.0,4637.0,78.1,Asia
13080,China,CHN,2020-05-11,3,3,84010.0,4637.0,78.1,Asia
13081,China,CHN,2020-05-12,3,3,84011.0,4637.0,78.1,Asia
13082,China,CHN,2020-05-13,3,3,84018.0,4637.0,78.1,Asia
13083,China,CHN,2020-05-14,3,3,84024.0,4637.0,78.1,Asia
13084,China,CHN,2020-05-15,3,3,84029.0,4637.0,78.1,Asia
13085,China,CHN,2020-05-16,3,3,84038.0,4637.0,78.1,Asia
13086,China,CHN,2020-05-17,3,3,84044.0,4638.0,78.1,Asia
13087,China,CHN,2020-05-18,3,3,84054.0,4638.0,78.1,Asia
13088,China,CHN,2020-05-19,3,3,84063.0,4638.0,78.1,Asia
13089,China,CHN,2020-05-20,3,3,84065.0,4638.0,78.1,Asia
1738,United Kingdom,GBR,2020-03-01,0,0,23.0,0.0,14.29,Europe
1739,United Kingdom,GBR,2020-03-02,0,0,36.0,0.0,14.29,Europe
1740,United Kingdom,GBR,2020-03-03,0,0,40.0,0.0,14.29,Europe
1741,United Kingdom,GBR,2020-03-04,0,0,51.0,0.0,14.29,Europe
1742,United Kingdom,GBR,2020-03-05,0,0,85.0,0.0,14.29,Europe
1743,United Kingdom,GBR,2020-03-06,0,0,115.0,0.0,14.29,Europe
1744,United Kingdom,GBR,2020-03-07,0,0,163.0,1.0,14.29,Europe
1745,United Kingdom,GBR,2020-03-08,0,0,206.0,2.0,14.29,Europe
1746,United Kingdom,GBR,2020-03-09,0,0,273.0,2.0,14.29,Europe
1747,United Kingdom,GBR,2020-03-10,0,0,321.0,3.0,14.29,Europe
1748,United Kingdom,GBR,2020-03-11,0,0,373.0,7.0,14.29,Europe
1749,United Kingdom,GBR,2020-03-12,0,0,456.0,7.0,14.29,Europe
1750,United Kingdom,GBR,2020-03-13,0,0,590.0,9.0,14.29,Europe
1751,United Kingdom,GBR,2020-03-14,0,0,707.0,10.0,14.29,Europe
1752,United Kingdom,GBR,2020-03-15,0,0,1140.0,28.0,14.29,Europe
1753,United Kingdom,GBR,2020-03-16,0,0,1391.0,43.0,21.43,Europe
1754,United Kingdom,GBR,2020-03-17,0,0,1543.0,65.0,30.95,Europe
1755,United Kingdom,GBR,2020-03-18,0,0,1950.0,81.0,30.95,Europe
1756,United Kingdom,GBR,2020-03-19,0,0,2630.0,115.0,30.95,Europe
1757,United Kingdom,GBR,2020-03-20,0,0,3277.0,158.0,30.95,Europe
1758,United Kingdom,GBR,2020-03-21,0,0,3983.0,194.0,39.29,Europe
1759,United Kingdom,GBR,2020-03-22,0,0,5018.0,250.0,48.81,Europe
9593,United Kingdom,GBR,2020-03-23,3,2,5683.0,285.0,67.86,Europe
9594,United Kingdom,GBR,2020-03-24,3,2,6650.0,359.0,67.86,Europe
9595,United Kingdom,GBR,2020-03-25,3,2,8077.0,508.0,67.86,Europe
9596,United Kingdom,GBR,2020-03-26,3,2,9529.0,694.0,77.38,Europe
9597,United Kingdom,GBR,2020-03-27,3,2,11658.0,877.0,77.38,Europe
9598,United Kingdom,GBR,2020-03-28,3,2,14543.0,1161.0,77.38,Europe
9599,United Kingdom,GBR,2020-03-29,3,2,17089.0,1455.0,77.38,Europe
9600,United Kingdom,GBR,2020-03-30,3,2,19522.0,1669.0,77.38,Europe
9601,United Kingdom,GBR,2020-03-31,3,2,22141.0,2043.0,77.38,Europe
9602,United Kingdom,GBR,2020-04-01,3,2,25150.0,2425.0,77.38,Europe
9603,United Kingdom,GBR,2020-04-02,3,2,29474.0,3095.0,77.38,Europe
9604,United Kingdom,GBR,2020-04-03,3,2,33718.0,3747.0,77.38,Europe
9605,United Kingdom,GBR,2020-04-04,3,2,38168.0,4461.0,77.38,Europe
9606,United Kingdom,GBR,2020-04-05,3,2,41903.0,5221.0,77.38,Europe
9607,United Kingdom,GBR,2020-04-06,3,2,47806.0,5865.0,77.38,Europe
9608,United Kingdom,GBR,2020-04-07,3,2,51608.0,6433.0,77.38,Europe
9609,United Kingdom,GBR,2020-04-08,3,2,55242.0,7471.0,77.38,Europe
9610,United Kingdom,GBR,2020-04-09,3,2,60733.0,8505.0,77.38,Europe
9611,United Kingdom,GBR,2020-04-10,3,2,65077.0,9608.0,77.38,Europe
9612,United Kingdom,GBR,2020-04-11,3,2,70272.0,10760.0,77.38,Europe
9613,United Kingdom,GBR,2020-04-12,3,2,78991.0,11599.0,77.38,Europe
9614,United Kingdom,GBR,2020-04-13,3,2,84279.0,12285.0,77.38,Europe
9615,United Kingdom,GBR,2020-04-14,3,2,88621.0,13029.0,77.38,Europe
9616,United Kingdom,GBR,2020-04-15,3,2,93873.0,14073.0,77.38,Europe
9617,United Kingdom,GBR,2020-04-16,3,2,98476.0,14915.0,77.38,Europe
9618,United Kingdom,GBR,2020-04-17,3,2,103093.0,15944.0,77.38,Europe
9619,United Kingdom,GBR,2020-04-18,3,2,108692.0,16879.0,77.38,Europe
9620,United Kingdom,GBR,2020-04-19,3,2,114217.0,17994.0,77.38,Europe
9621,United Kingdom,GBR,2020-04-20,3,2,120067.0,18492.0,77.38,Europe
9622,United Kingdom,GBR,2020-04-21,3,2,124743.0,19051.0,77.38,Europe
9623,United Kingdom,GBR,2020-04-22,3,2,129044.0,20223.0,77.38,Europe
9624,United Kingdom,GBR,2020-04-23,3,2,133495.0,21060.0,77.38,Europe
9625,United Kingdom,GBR,2020-04-24,3,2,138078.0,21787.0,77.38,Europe
9626,United Kingdom,GBR,2020-04-25,3,2,143464.0,22792.0,77.38,Europe
9627,United Kingdom,GBR,2020-04-26,3,2,148377.0,23635.0,77.38,Europe
9628,United Kingdom,GBR,2020-04-27,3,2,152840.0,24055.0,77.38,Europe
9629,United Kingdom,GBR,2020-04-28,3,2,157149.0,24393.0,77.38,Europe
9630,United Kingdom,GBR,2020-04-29,3,2,161145.0,25302.0,77.38,Europe
9631,United Kingdom,GBR,2020-04-30,3,2,165221.0,26097.0,77.38,Europe
9632,United Kingdom,GBR,2020-05-01,3,2,171253.0,26771.0,77.38,Europe
9633,United Kingdom,GBR,2020-05-02,3,2,177454.0,27510.0,77.38,Europe
9634,United Kingdom,GBR,2020-05-03,3,2,182260.0,28131.0,77.38,Europe
9635,United Kingdom,GBR,2020-05-04,3,2,186599.0,28446.0,77.38,Europe
9636,United Kingdom,GBR,2020-05-05,3,2,190584.0,28734.0,77.38,Europe
9637,United Kingdom,GBR,2020-05-06,3,2,194990.0,29427.0,77.38,Europe
9638,United Kingdom,GBR,2020-05-07,3,2,201201.0,30076.0,77.38,Europe
9639,United Kingdom,GBR,2020-05-08,3,2,206715.0,30615.0,77.38,Europe
9640,United Kingdom,GBR,2020-05-09,3,2,211364.0,31241.0,77.38,Europe
9641,United Kingdom,GBR,2020-05-10,3,2,215260.0,31587.0,77.38,Europe
9642,United Kingdom,GBR,2020-05-11,3,2,219183.0,31855.0,77.38,Europe
